ts_iso_utc,kind,domain,rc,actual_mhz,request_mhz,tdp_mhz,efficient_mhz,throttle_reasons,energy_uj,timestamp_us,power_w
2026-09-25T07:56:32.742535+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:32.742535+00:00,power,0,0,,,,,,110624258126,314246898142,8.351494814155531
2026-09-25T07:56:33.739017+00:00,freq,0,0,1700.0,4250.0,1700.0,900.0,2,,,
2026-09-25T07:56:33.739017+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:33.739017+00:00,power,0,0,,,,,,110632295357,314247894535,8.066326238743146
2026-09-25T07:56:34.741952+00:00,freq,0,0,1700.0,4250.0,1700.0,900.0,2,,,
2026-09-25T07:56:34.741952+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:34.741952+00:00,power,0,0,,,,,,110640740998,314248897459,8.421017943533109
2026-09-25T07:56:35.730375+00:00,freq,0,0,1700.0,4250.0,1700.0,900.0,2,,,
2026-09-25T07:56:35.730375+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:35.730375+00:00,power,0,0,,,,,,110649118195,314249885893,8.475221410837749
2026-09-25T07:56:36.731352+00:00,freq,0,0,1500.0,4250.0,1500.0,900.0,2,,,
2026-09-25T07:56:36.731352+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:36.731352+00:00,power,0,0,,,,,,110657272088,314250886863,8.145991388353297
2026-09-25T07:56:37.746058+00:00,freq,0,0,1650.0,4250.0,1650.0,900.0,2,,,
2026-09-25T07:56:37.746058+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:37.746058+00:00,power,0,0,,,,,,110665186394,314251901522,7.7999662940948635
2026-09-25T07:56:38.734568+00:00,freq,0,0,1600.0,4250.0,1600.0,900.0,2,,,
2026-09-25T07:56:38.734568+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:38.734568+00:00,power,0,0,,,,,,110672261467,314252890035,7.157288776171886
2026-09-25T07:56:39.734600+00:00,freq,0,0,1650.0,4250.0,1650.0,900.0,2,,,
2026-09-25T07:56:39.734600+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:39.734600+00:00,power,0,0,,,,,,110679387809,314253890323,7.1242902044211265
2026-09-25T07:56:40.748532+00:00,freq,0,0,1650.0,4250.0,1650.0,900.0,2,,,
2026-09-25T07:56:40.748532+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:40.748532+00:00,power,0,0,,,,,,110686400039,314254903928,6.918109125349618
2026-09-25T07:56:41.733178+00:00,freq,0,0,1650.0,4250.0,1650.0,900.0,2,,,
2026-09-25T07:56:41.733178+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
