timestamp, utilization.gpu [%], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, memory.used [MiB], clocks_event_reasons.active
2026/09/25 04:11:05.824, 0 %, 210 MHz, 405 MHz, 1.86 W, 64, 7813 MiB, 0x0000000000000001
2026/09/25 04:11:06.826, 0 %, 210 MHz, 405 MHz, 1.91 W, 64, 7813 MiB, 0x0000000000000001
2026/09/25 04:11:07.831, 0 %, 210 MHz, 405 MHz, 1.96 W, 64, 7813 MiB, 0x0000000000000001
2026/09/25 04:11:08.841, 0 %, 210 MHz, 405 MHz, 1.98 W, 63, 7813 MiB, 0x0000000000000001
2026/09/25 04:11:09.844, 0 %, 210 MHz, 405 MHz, 1.93 W, 63, 7813 MiB, 0x0000000000000001
2026/09/25 04:11:10.847, 0 %, 210 MHz, 405 MHz, 1.89 W, 63, 7813 MiB, 0x0000000000000001
2026/09/25 04:11:11.854, 0 %, 210 MHz, 405 MHz, 1.95 W, 63, 7813 MiB, 0x0000000000000001
2026/09/25 04:11:12.855, 0 %, 210 MHz, 405 MHz, 1.98 W, 63, 7813 MiB, 0x0000000000000001
2026/09/25 04:11:13.859, 0 %, 210 MHz, 405 MHz, 1.92 W, 63, 7813 MiB, 0x0000000000000001
2026/09/25 04:11:14.863, 0 %, 210 MHz, 405 MHz, 1.91 W, 63, 7813 MiB, 0x0000000000000001
2026/09/25 04:11:15.868, 0 %, 210 MHz, 405 MHz, 1.91 W, 63, 7813 MiB, 0x0000000000000001
2026/09/25 04:11:16.872, 0 %, 210 MHz, 405 MHz, 1.91 W, 63, 7813 MiB, 0x0000000000000001
2026/09/25 04:11:17.874, 0 %, 210 MHz, 405 MHz, 1.92 W, 63, 7813 MiB, 0x0000000000000001
2026/09/25 04:11:18.879, 0 %, 210 MHz, 405 MHz, 1.94 W, 63, 7813 MiB, 0x0000000000000001
